,Title,PublishedDate,Views,Likes,Comments,Description,Month,Channel
0,The Murder of Albert Snyder #shorts,2023-05-23,836,115,0,"#shorts 

Simon's Social Media:
Twitter: https://twitter.com/SimonWhistler
Instagram: https://www.instagram.com/simonwhistler/

Love content? Check out Simon's other YouTube Channels:

Biographics: https://www.youtube.com/channel/UClnDI2sdehVm1zm_LmUHsjQ
Geographics: https://www.youtube.com/channel/UCHKRfxkMTqiiv4pF99qGKIw
Warographics: https://www.youtube.com/channel/UC9h8BDcXwkhZtnqoQJ7PggA
MegaProjects: https://www.youtube.com/channel/UC0woBco6Dgcxt0h8SwyyOmw
SideProjects: https://www.youtube.com/channel/UC3Wn3dABlgESm8Bzn8Vamgg
Into The Shadows: https://www.youtube.com/c/IntotheShadows
TopTenz: https://www.youtube.com/user/toptenznet
Today I Found Out: https://www.youtube.com/user/TodayIFoundOut
Highlight History: https://www.youtube.com/channel/UCnb-VTwBHEV3gtiB9di9DZQ
Business Blaze: https://www.youtube.com/channel/UCYY5GWf7MHFJ6DZeHreoXgw
Decoding the Unknown: https://www.youtube.com/channel/UCZdWrz8pF6B5Y_c6Zi6pmdQ",May,The Casual Criminalist
1,"The Murders That Inspired ‘Chicago’, Part Two #shorts",2023-05-22,7448,787,12,"#shorts 

Simon's Social Media:
Twitter: https://twitter.com/SimonWhistler
Instagram: https://www.instagram.com/simonwhistler/

Love content? Check out Simon's other YouTube Channels:

Biographics: https://www.youtube.com/channel/UClnDI2sdehVm1zm_LmUHsjQ
Geographics: https://www.youtube.com/channel/UCHKRfxkMTqiiv4pF99qGKIw
Warographics: https://www.youtube.com/channel/UC9h8BDcXwkhZtnqoQJ7PggA
MegaProjects: https://www.youtube.com/channel/UC0woBco6Dgcxt0h8SwyyOmw
SideProjects: https://www.youtube.com/channel/UC3Wn3dABlgESm8Bzn8Vamgg
Into The Shadows: https://www.youtube.com/c/IntotheShadows
TopTenz: https://www.youtube.com/user/toptenznet
Today I Found Out: https://www.youtube.com/user/TodayIFoundOut
Highlight History: https://www.youtube.com/channel/UCnb-VTwBHEV3gtiB9di9DZQ
Business Blaze: https://www.youtube.com/channel/UCYY5GWf7MHFJ6DZeHreoXgw
Decoding the Unknown: https://www.youtube.com/channel/UCZdWrz8pF6B5Y_c6Zi6pmdQ",May,The Casual Criminalist
2,"The Murders That Inspired ‘Chicago’, Part One #shorts",2023-05-21,12831,1170,39,"#shorts 

Simon's Social Media:
Twitter: https://twitter.com/SimonWhistler
Instagram: https://www.instagram.com/simonwhistler/

Love content? Check out Simon's other YouTube Channels:

Biographics: https://www.youtube.com/channel/UClnDI2sdehVm1zm_LmUHsjQ
Geographics: https://www.youtube.com/channel/UCHKRfxkMTqiiv4pF99qGKIw
Warographics: https://www.youtube.com/channel/UC9h8BDcXwkhZtnqoQJ7PggA
MegaProjects: https://www.youtube.com/channel/UC0woBco6Dgcxt0h8SwyyOmw
SideProjects: https://www.youtube.com/channel/UC3Wn3dABlgESm8Bzn8Vamgg
Into The Shadows: https://www.youtube.com/c/IntotheShadows
TopTenz: https://www.youtube.com/user/toptenznet
Today I Found Out: https://www.youtube.com/user/TodayIFoundOut
Highlight History: https://www.youtube.com/channel/UCnb-VTwBHEV3gtiB9di9DZQ
Business Blaze: https://www.youtube.com/channel/UCYY5GWf7MHFJ6DZeHreoXgw
Decoding the Unknown: https://www.youtube.com/channel/UCZdWrz8pF6B5Y_c6Zi6pmdQ",May,The Casual Criminalist
3,The Lonely Hearts Killers #shorts,2023-05-20,15833,1402,20,"#shorts 

Simon's Social Media:
Twitter: https://twitter.com/SimonWhistler
Instagram: https://www.instagram.com/simonwhistler/

Love content? Check out Simon's other YouTube Channels:

Biographics: https://www.youtube.com/channel/UClnDI2sdehVm1zm_LmUHsjQ
Geographics: https://www.youtube.com/channel/UCHKRfxkMTqiiv4pF99qGKIw
Warographics: https://www.youtube.com/channel/UC9h8BDcXwkhZtnqoQJ7PggA
MegaProjects: https://www.youtube.com/channel/UC0woBco6Dgcxt0h8SwyyOmw
SideProjects: https://www.youtube.com/channel/UC3Wn3dABlgESm8Bzn8Vamgg
Into The Shadows: https://www.youtube.com/c/IntotheShadows
TopTenz: https://www.youtube.com/user/toptenznet
Today I Found Out: https://www.youtube.com/user/TodayIFoundOut
Highlight History: https://www.youtube.com/channel/UCnb-VTwBHEV3gtiB9di9DZQ
Business Blaze: https://www.youtube.com/channel/UCYY5GWf7MHFJ6DZeHreoXgw
Decoding the Unknown: https://www.youtube.com/channel/UCZdWrz8pF6B5Y_c6Zi6pmdQ",May,The Casual Criminalist
4,Colonel Russel Williams: The Fetish Burglar,2023-05-19,106411,6265,1005,"Explore the shocking crimes of Russell Williams, a high-ranking military figure turned serial killer. Uncover the disturbing details of his burglaries, assaults, and murders that terrorized a community and led to a life behind bars.

Simon's Social Media:
Twitter: https://twitter.com/SimonWhistler
Instagram: https://www.instagram.com/simonwhistler/

Love content? Check out Simon's other YouTube Channels:

Biographics: https://www.youtube.com/channel/UClnDI2sdehVm1zm_LmUHsjQ
Geographics: https://www.youtube.com/channel/UCHKRfxkMTqiiv4pF99qGKIw
Warographics: https://www.youtube.com/channel/UC9h8BDcXwkhZtnqoQJ7PggA
MegaProjects: https://www.youtube.com/channel/UC0woBco6Dgcxt0h8SwyyOmw
SideProjects: https://www.youtube.com/channel/UC3Wn3dABlgESm8Bzn8Vamgg
Into The Shadows: https://www.youtube.com/c/IntotheShadows
TopTenz: https://www.youtube.com/user/toptenznet
Today I Found Out: https://www.youtube.com/user/TodayIFoundOut
Highlight History: https://www.youtube.com/channel/UCnb-VTwBHEV3gtiB9di9DZQ
Business Blaze: https://www.youtube.com/channel/UCYY5GWf7MHFJ6DZeHreoXgw
Decoding the Unknown: https://www.youtube.com/channel/UCZdWrz8pF6B5Y_c6Zi6pmdQ",May,The Casual Criminalist
5,Abraham Shakespear - From Multimillionaire to Missing Person #shorts,2023-05-19,9733,776,22,"#shorts

Simon's Social Media:
Twitter: https://twitter.com/SimonWhistler
Instagram: https://www.instagram.com/simonwhistler/

Love content? Check out Simon's other YouTube Channels:

Biographics: https://www.youtube.com/channel/UClnDI2sdehVm1zm_LmUHsjQ
Geographics: https://www.youtube.com/channel/UCHKRfxkMTqiiv4pF99qGKIw
Warographics: https://www.youtube.com/channel/UC9h8BDcXwkhZtnqoQJ7PggA
MegaProjects: https://www.youtube.com/channel/UC0woBco6Dgcxt0h8SwyyOmw
SideProjects: https://www.youtube.com/channel/UC3Wn3dABlgESm8Bzn8Vamgg
Into The Shadows: https://www.youtube.com/c/IntotheShadows
TopTenz: https://www.youtube.com/user/toptenznet
Today I Found Out: https://www.youtube.com/user/TodayIFoundOut
Highlight History: https://www.youtube.com/channel/UCnb-VTwBHEV3gtiB9di9DZQ
Business Blaze: https://www.youtube.com/channel/UCYY5GWf7MHFJ6DZeHreoXgw
Decoding the Unknown: https://www.youtube.com/channel/UCZdWrz8pF6B5Y_c6Zi6pmdQ",May,The Casual Criminalist
6,The Failed Poisoning Plot #shorts,2023-05-18,20700,1444,40,"#shorts

Simon's Social Media:
Twitter: https://twitter.com/SimonWhistler
Instagram: https://www.instagram.com/simonwhistler/

Love content? Check out Simon's other YouTube Channels:

Biographics: https://www.youtube.com/channel/UClnDI2sdehVm1zm_LmUHsjQ
Geographics: https://www.youtube.com/channel/UCHKRfxkMTqiiv4pF99qGKIw
Warographics: https://www.youtube.com/channel/UC9h8BDcXwkhZtnqoQJ7PggA
MegaProjects: https://www.youtube.com/channel/UC0woBco6Dgcxt0h8SwyyOmw
SideProjects: https://www.youtube.com/channel/UC3Wn3dABlgESm8Bzn8Vamgg
Into The Shadows: https://www.youtube.com/c/IntotheShadows
TopTenz: https://www.youtube.com/user/toptenznet
Today I Found Out: https://www.youtube.com/user/TodayIFoundOut
Highlight History: https://www.youtube.com/channel/UCnb-VTwBHEV3gtiB9di9DZQ
Business Blaze: https://www.youtube.com/channel/UCYY5GWf7MHFJ6DZeHreoXgw
Decoding the Unknown: https://www.youtube.com/channel/UCZdWrz8pF6B5Y_c6Zi6pmdQ",May,The Casual Criminalist
7,Susan Kuhnhausen - Certified Badass #shorts,2023-05-17,26193,2265,70,"#shorts

Simon's Social Media:
Twitter: https://twitter.com/SimonWhistler
Instagram: https://www.instagram.com/simonwhistler/

Love content? Check out Simon's other YouTube Channels:

Biographics: https://www.youtube.com/channel/UClnDI2sdehVm1zm_LmUHsjQ
Geographics: https://www.youtube.com/channel/UCHKRfxkMTqiiv4pF99qGKIw
Warographics: https://www.youtube.com/channel/UC9h8BDcXwkhZtnqoQJ7PggA
MegaProjects: https://www.youtube.com/channel/UC0woBco6Dgcxt0h8SwyyOmw
SideProjects: https://www.youtube.com/channel/UC3Wn3dABlgESm8Bzn8Vamgg
Into The Shadows: https://www.youtube.com/c/IntotheShadows
TopTenz: https://www.youtube.com/user/toptenznet
Today I Found Out: https://www.youtube.com/user/TodayIFoundOut
Highlight History: https://www.youtube.com/channel/UCnb-VTwBHEV3gtiB9di9DZQ
Business Blaze: https://www.youtube.com/channel/UCYY5GWf7MHFJ6DZeHreoXgw
Decoding the Unknown: https://www.youtube.com/channel/UCZdWrz8pF6B5Y_c6Zi6pmdQ",May,The Casual Criminalist
8,"The Butcher of Elmendorf, Texas #shorts",2023-05-16,17777,1478,46,"#shorts

Simon's Social Media:
Twitter: https://twitter.com/SimonWhistler
Instagram: https://www.instagram.com/simonwhistler/

Love content? Check out Simon's other YouTube Channels:

Biographics: https://www.youtube.com/channel/UClnDI2sdehVm1zm_LmUHsjQ
Geographics: https://www.youtube.com/channel/UCHKRfxkMTqiiv4pF99qGKIw
Warographics: https://www.youtube.com/channel/UC9h8BDcXwkhZtnqoQJ7PggA
MegaProjects: https://www.youtube.com/channel/UC0woBco6Dgcxt0h8SwyyOmw
SideProjects: https://www.youtube.com/channel/UC3Wn3dABlgESm8Bzn8Vamgg
Into The Shadows: https://www.youtube.com/c/IntotheShadows
TopTenz: https://www.youtube.com/user/toptenznet
Today I Found Out: https://www.youtube.com/user/TodayIFoundOut
Highlight History: https://www.youtube.com/channel/UCnb-VTwBHEV3gtiB9di9DZQ
Business Blaze: https://www.youtube.com/channel/UCYY5GWf7MHFJ6DZeHreoXgw
Decoding the Unknown: https://www.youtube.com/channel/UCZdWrz8pF6B5Y_c6Zi6pmdQ",May,The Casual Criminalist
9,Oscar Pistorius – Paralympic Athlete Turned Murderer,2023-05-13,161260,8121,1223,"Explore the tragic story of Oscar Pistorius, the Paralympic athlete who shot and killed his girlfriend, Reeva Steenkamp. Discover the details of his life, Reeva's life, and the events leading up to the fateful night of February 14th, 2013, which ultimately led to Pistorius being charged with premeditated murder.

Simon's Social Media:
Twitter: https://twitter.com/SimonWhistler
Instagram: https://www.instagram.com/simonwhistler/

Love content? Check out Simon's other YouTube Channels:

Biographics: https://www.youtube.com/channel/UClnDI2sdehVm1zm_LmUHsjQ
Geographics: https://www.youtube.com/channel/UCHKRfxkMTqiiv4pF99qGKIw
Warographics: https://www.youtube.com/channel/UC9h8BDcXwkhZtnqoQJ7PggA
MegaProjects: https://www.youtube.com/channel/UC0woBco6Dgcxt0h8SwyyOmw
SideProjects: https://www.youtube.com/channel/UC3Wn3dABlgESm8Bzn8Vamgg
Into The Shadows: https://www.youtube.com/c/IntotheShadows
TopTenz: https://www.youtube.com/user/toptenznet
Today I Found Out: https://www.youtube.com/user/TodayIFoundOut
Highlight History: https://www.youtube.com/channel/UCnb-VTwBHEV3gtiB9di9DZQ
Business Blaze: https://www.youtube.com/channel/UCYY5GWf7MHFJ6DZeHreoXgw
Decoding the Unknown: https://www.youtube.com/channel/UCZdWrz8pF6B5Y_c6Zi6pmdQ",May,The Casual Criminalist
