,Title
0,When a Peacock wants to help out ...
1,Haunted Secrets: The Haunting Tale of Don Henry and Kevin Ives - The Boys on the Tracks
2,WILLIAM DALE ARCHERD - Fuelled by Greed
3,Hannah Landon Arrested for Allegedly Murdering her Boyfriends Daughter
4,Oklahoma Serial Killer Caught Because of His Own Spite - Roger Dale Stafford
5,The Strange Story of Alfred Benning
6,Why would you steal a PLATYPUS ?????
7,Laurel Mitchell - Has this Murder finally been Solved?
8,Where is Gary The Gorilla? - UK True Crime
9,The Brutal Case of Isabelle and Linda Pedroza
10,Sweden's Most Notorious Murder - Catrine Da Costa
11,A Cold Case Solved - Dr. Brenda Page
12,Lesbian Vampire Killer - TRACEY WIGGINTON
13,UNSOLVED : THE GRIMES SISTERS FROM ILLINOIS - VINTAGE TRUE CRIME
14,Harry & Carol Jarvis and Pastry Heiress Rita Heyster
15,The Sutcliffe Family and Heather Arnold
16,The Satanic Lillelid Murders
17,Spider Sabich the Alpine Skier
18,"The Incredible Story of Claudine Longet, Spider Sabich & Andy Williams"
19,JENNA NANNETTI & MICHAEL SIMONS
20,John and Leigh Ann Sabine - The Perfect Murder?
21,"THREE Stories of Conniving Conmen - Abagnale, Spears & Edwards - Was One of Them a Serial Killer??"
22,Futoshi Matsunaga's Crimes Were Horrific
23,The Truly Disturbing Case of Elizabeth Santos
24,The Strange and Eerie Case of Debbie Wolfe
25,A Long Search For Answers -- CHRISTOPHER DENOYER
26,"I am hatred. When you look at me, you look at hate - TOMMY LYNN SELLS"
27,A Truly Brutal Murder - Jayna Murray & Brittany Norwood
28,The Brutal Killing of Lillian Armstrong
29,Just How Many Did She Kill? - KRISTEN GILBERT
30,The Bartholomew Family Murders and the Double Life of Clifford Bartholomew
31,THE TIPSTER KILLER - ROBERT MAURY - AN EVIL SERIAL KILLER
32,ALAN EUGENE MILLER - THE KILLER
33,BETHANY DEATON - The Heartbreaking Case of a Young Lady Whose Life Ended Too Soon
34,THE CHICAGO RIPPER CREW - ROBIN GECHT
35,HANK EARL CARR - A Dark Day for the Police
36,Velma Barfield - Death Row Granny
37,Two Female Death Row Cases - Karla Faye Tucker & Barbara Graham
38,Travis the Chimp and Charla Nash Story
39,The Heartbreaking Story of the Leung Family
40,The Freeman Family Massacre
41,David Venables - Justice Obtained But Will It Ever Be Served
42,BRIEF CASE PART 2 MARY ASHFORD STORY / BARBARA FORREST
43,SERIAL KILLER ANTHONY HARDY - THE CAMDEN RIPPER
44,BRIEF CASE NARRATES THE CASE OF MARIA MORENO FROM SPAIN
45,Edward Chen & The Hidden Murders
46,The Shocking Case of Linda Casey & Peter Ling
47,Achievements of Elmer A Schroeder - the first American-born President of US Soccer
48,Murder of Elmer A Schroeder
49,THE CAT MAN OF ARGENTINA - GILAD PEREG
50,Elizabeth Haysom and Jens Soering - short trailer
51,THE CURRY KILLER - Lakhvir Singh & Lucky Cheema
52,ELIZABETH HAYSOM & JENS SOERING - A BRUTAL DOUBLE MURDER OF THE HAYSOM FAMILY
53,The Heartbreaking Story of Two Children and a Devastating Murder. Eric Smith & Derrick Robie
54,THE CONTROVERSIAL CASE OF ALICE CRIMMINS - New York Murders
55,"THE SHOCKING ROWE FAMILY STORY FROM NEW YORK - Robert ""Bob"" T Rowe"
56,HEAVEN'S GATE CULT & MARSHALL APPLEWHITE
57,THE SHOCKING CASE OF RAY AND FAYE COPELAND - ELDERLY & EVIL
58,"THE CASE OF RONALD SANFORD - 1 CRIME, 2 SENTENCES?"
59,THE LIN FAMILY MURDERS
60,The Incredible Story of Amanda Zhao - A Fight for Justice - Ang Li
61,THE HORRIFYING CRIMES OF PETER DEMETER
62,THE CHILLING CASE OF THE KING FAMILY - TERRY KING FROM FLORIDA
63,THE COORS FAMILY CURSE & THE ONE MAN ARMY OF BATAAN
64,THE ATTACK OF THE JOKER - KYOTA HATTORI - A FAN OF BATMAN
65,THE CHILLING CRIMES OF JOHN LIST
66,STEVE GURRIE - The crime that shocked Grenada
67,THE HEARTBREAKING CASE OF LORYS STIVAL
68,The Shocking case of Kitty Genovese
69,The Heartbreaking Murder of Mildred Matheny - Florida Murder
70,THE COURIER OF LYONS ~ L' affaire du Courrier De Lyon
71,THE SHOCKING CASE OF FANNY BARBER ~ The Crime Reel
72,The Tragic Truth Behind TikTok Trend - ISABELLA GUZMAN
73,JUSTICE? | The Horrific Life of ANDREW MALLARD |  13 Years behind bars | The Crime Reel
74,THE WELLS GRAY PARK MURDERS - DAVID WILLIAM SHEARING
75,TEN STUPIDEST CRIMES - The Crime Reel
76,17 CHRISTMAS CRIMES & UNUSUAL ARRESTS - The Crime Reel
77,Wang Zhijian - The Singapore Maniac - The Crime Reel
78,THE TRAGIC LIFE AND DEATH OF A SOUL LEGEND - MARVIN GAYE - The Crime Reel
79,THE CHIPPENDALES CURSE - Steve Banerjee - Dorothy Stratten - The Crime Reel
80,THE STATE TROOPER MURDERS - DAVID CAMM - The Crime Reel
81,SCISSOR SISTERS - THE MULHALL SISTERS STORY
82,TWO UNSOLVED MURDERS - ARE THEY RELATED? CAROL MORGAN & DORA PRATT - The Crime Reel
83,12 YEAR OLD MURDERER - JASMINE RICHARDSON - The Crime Reel
84,"NOT TODAY, MOTHERF@@@@R - KELLY HERRON STORY"
85,THE CONTROVERSIAL CASE OF SARAH SCAZZI - The Crime Reel
86,DALIA & MICHAEL DIPPOLITO - The Crime Reel
87,THE SPEED FREAK KILLERS - WESLEY SHERMANTINE & LOREN HERZOG - The Crime Reel
88,THE VOODOO KILLER - JOSEPHINE GRAY ~ The Crime Reel
89,THE HEINOUS CRIMES & SHOCKING LIES OF EDWARD WAYNE EDWARDS  - ED EDWARDS
90,EVIL TWINS - THE SPAHALSKI BROTHERS - The Crime Reel
91,RECIPE FOR MURDER - SAMUEL SHEINBEIN - The Crime Reel
92,BEVERLY HILLS MURDER CONSPIRACY - RONNI CHASEN - The Crime Reel
