channel_name,channel_id
Bailey Sarian,"""UCtNdVINwfYFTQEEZgMiQ8FA"""
JCS - Criminal Psychology,"""UCYwVxWpjeKFWwu8TML-Te9A"""
Danielle Kirsty,"""UC7QBeubzVIOqFjUjd_gNEBQ"""
Matt Orchard - Crime and Society,"""UCYUZ0gWRp_HQCVEz0OovuAg"""
Buzzfeed Unsolved - True Crime,"""UCKijjvu6bN1c-ZHVwR7-5WA"""
That Chapter,"""UCL44k-cLrlsdr7PYuMU4yIw"""
Stephanie Harlowe,"""UClVF8RcTN3UqAognWFGlJcg"""
this is MONSTERS,"""UC43NNGKNN6I3KqT963L6o6Q"""
Coffeehouse Crime,"""UCcUf33cEPky2GiWBgOP-jQA"""
The Casual Criminalist,"""UCp1tsmksyf6TgKFMdt8-05Q"""
Kendall Rae,"""UCKBaL17hXLGJvi2KZKpja5w"""
Explore with Us,"""UCJWKjrrUh2KL1d3zXQW79cQ"""
Joshua Miles,"""UCu6hgG6SUHhAa2clb66hRhw"""
Bella Fiori,"""UCaezsZGhwWgB4ZRmHNCfIyw"""
dreading (crime and psychology),"""UCG-qQe1mnh4JVKhuJkdh8KA"""
Annie Elise x 10 to LIFE,"""UCOK0fZAUx82plnLhTKZW6qg"""
Dr. Grande,"""UCC_0vyFTKk1Nlodo4QsiQkw"""
Eleanor Neale,"""UCFMbX7frWZfuWdjAML0babA"""
48 Hours,"""UC7htuVs06oduI3xSfTdcxPA"""
Crime Reel,"""UC8uw4lQjJnNZBxJu8_ATV5w"""
Little Shop of Crime,"""UCs9sNzoR8ReeqPC8EB-HjXg"""
