,Title
0,5 People Killed Over Food 02: Hashem Zayed #Shorts
1,5 People Killed Over Food 01: Glenn Hirsch #Shorts
2,Jeannace Freeman & Gertrude Jackson : The Crooked River Bridge
3,Larry & Carri Williams : The Guide to Child Abuse
4,Julie Schenecker : The Murder of Calyx and Beau
5,Sean Phillips : The murder of Baby Kate
6,Mick Philpott : The Derby Child Killer
7,Marvin Gay Sr. : The Murder of a Legend
8,Michael McCarthy & Rachelle Bond : Baby Bella
9,Cheyanne Jessie : Unwanted Child Filicide
10,Theresa Knorr : Murder Mother Extraordinaire
11,Brendt Christensen : An Ordinary Monster
12,Jeffrey Willis : The Silver Minivan
13,Jacob Kinn : A Human Predator
14,Patrick Berrane Et al. : The Murder of Hoyt Birge
15,Sarah Buzzard : An Unexplained Murder
16,Kimberly Clark Saenz : Bloodline Bleacher
17,David Wright : The Smartest Guy in the Room
18,Robert Howard Second Interview Part 02
19,Robert Howard Second Interview Part 01
20,Robert Howard First Interview
21,Robert Howard : The Disappearance of Naomi Jones
22,Michael Carruth & Jimmy Brooks : Back from the Dead
23,Alexander Jackson : Literally Shot Himself in the Foot
24,David & Michelle Knotek : A House of Horrors
25,Richard Taylor : Light A Match
26,Kevin Davis : He Lost His Virginity To What?
27,Susan Monica Full Interrogation Part 03
28,Susan Monica Full Interrogation Part 02
29,Susan Monica Full Interrogation Part 01
30,Susan Monica : Fed to the Pigs
31,Liam McAtasney Full Confession
32,Liam McAtasney : The Killer Confession
33,Cody Fohrenkam : The Shooting of Deshaun Hill Jr.
34,Chandler Halderson : Caught With Snapchat
35,James Patterson Smith : The Murder of Kelly Ann Bates
36,Jack Ronald Jones & Jerry Lee Beatty : The Murder of Stephanie Roper
37,Adolfo Constanzo Part 02 : The Murder of Mark Kilroy
38,Adolfo Constanzo Part 01 : The Narcosatanists
39,Season 10 Trailer
40,Hiroshi Miyano Et al. : The murder of Junko Furuta
41,Aaron McKinney & Russell Henderson : The Murder of Matthew Shepard
42,Leonard Lake & Charles Ng : The Thief & the Liar
43,Knox County Five : Chipman Street Torture
44,Joe Clark : The Bone Breaker
45,Chan Man-lok : The Hello Kitty Murder
46,Jean Powell Et al. : She Solved Her Own Murder
47,Gary Heidnik : The Monster Preacher
48,The Greensburg Six : The Murder of Jennifer Daugherty
49,Wesley Earnest : A Staged Suicide
50,Vincent Tabak : The Bad Neighbor
51,Bruce Jeffrey Pardo : Bloody Christmas
52,Stella Nickell : The Poisoned Pills
53,5 Craziest Stalkers
54,William Lee Neal Part 02 : The Ending
55,William Lee Neal Part 01 : The Beginning
56,Marjorie Orbin : The Dancing Black Widow
57,Richard Kirk : The Weed Made Me Do It
58,Tony Costa : The Other Truro Murders
59,Mark Rogowski : Gator the Skater
60,1982 Boston Arson
61,Grant & Amanda Hayes : Fed to the Gators
62,Pedro Lopez : The Monster of the Andes
63,David Parker Ray : The Toybox Killer
64,Russell Bishop : The Babes in the Wood
65,Cesar Barone : The Protege
66,John Albert Gardner : A Monster Not a Victim
67,Jasmine Richardson & Jeremy Steinke : Natural Born Killers
68,Marceline Harvey : The Repeat Offender
69,BJ & Erika Sifrit : The Thrill Kill Couple
70,Jeena Han : The Identical Twin Conspiracy
71,Joseph Duncan : The Monster in the Night
72,5 People Who Killed Over Nothing
73,William Michael Dennis : A Dad in Wolf's Clothing
74,Anthony Sowell : The Cleveland Strangler
75,Jonathan Nyce : the Mail Order Bride Murder
76,Matthew Robert Wales : A Family Homicide
77,5 More People Who Killed Again
78,John Famalaro : The Ice Chest Killer
79,Jenelle Potter : The Facebook Murder
80,Daron Wint : The DC Mansion Murder
81,James Daveggio & Michelle Michaud : The Minivan Murder
82,Avery Brock & Tony West : The Corpsewood Manor Murders
83,Patricia Columbo & Frank DeLuca : From Lovers to Killers
84,Perry March : The Killer Counselor
85,Kirby Anthoney : The Alaskan Psychopath
86,David McGreavy : The Monster of Worcester
87,Michael Rafferty & Terri-Lynne McClintic : A Killer in Denial
88,Genene Jones : The Death Nurse
89,Nathan Matthews & Shauna Hoare : Worst Brother Ever
90,Shelia Eddy & Rachel Shoaf : The Real Life Heathers
91,Lewis Daynes : A Deadly Game
92,Clifford Olson Jr. : The Beast of British Columbia
93,Austin Sigg : The Murder of Jessica Ridgeway
94,Gertrude Baniszewski : The Torture Mom
95,Lacey Spears Part 02 : Garnett the Great
96,Lacey Spears Part 01 : Munchausen Syndrome by Proxy
97,Robert Black : The Midlands Triangle Murders
98,"Jerry Jenkins & Ronald Kennedy : She Survived, But She Didn't Live"
99,Marcin Kasprzak : The Shallow Gravedigger
100,Katherine Knight : The Australian Cannibal
101,Sharon Nelson : The Black Widow
102,Herb Baumeister : The I-70 Strangler
103,Jessica McCord : Over Your Dead Body
104,Marc Lépine : The École Polytechnique Massacre
105,James Huberty : San Ysidro McDonalds Massacre
106,George Hennard : Luby's Cafeteria Shooting
107,Derrick Bird : The Cumbria Massacre
108,Andreas Lubitz : Germanwings Flight 9525
109,Stephen Paddock : Las Vegas Shooting
110,Jim Jones : The Jonestown Massacre
111,Gabriel Wortman : The Nova Scotia Mass Shooter
112,Charles Whitman : The University of Texas Tower Shooter
113,Tamerlan & Dzhokhar Tsarnaev : The Boston Marathon Bombers
114,Howard Unruh : The Walk of Death
115,Marshall Applewhite : The Heaven's Gate Cult
116,Amy Bishop : The University of Alabama Shooter
117,Michael Ryan : The Hungerford Massacre
118,Andrew Kehoe : The Bath School Bomber
119,Jeffrey Lundgren : The Kirtland Cult Murder
120,Bonnie Parker & Clyde Barrow : America's Criminal Couple
121,Jesse Kempson : The 50 Shades of Grey Defense
122,Derek Wood : The Sydney River McDonald's Murders
123,Milton Johnson : The Weekend Murderer
124,John Robinson : The Internet Slave Master
125,Jack Unterweger : The Vienna Prostitute Killer
126,Ray & Faye Copeland : America's Oldest Serial Killers
127,Jimmy Maketta : The Jesus Killer
128,The Harpe Brothers : America's First Serial Killers
129,Robert Hansen : The Butcher Baker
130,Carl Eugene Watts : The Sunday Morning Slasher
131,Eric Edgar Cooke : The Night Caller
132,Charles Sobhraj : The Serpent
133,Gary Hilton : The National Forest Killer
134,Charles Cullen : The Angel of Death
135,Lawrence Bittaker & Roy Norris : The Toolbox Killers
136,Richard Biegenwald : The Jersey Shore Thrill Killer
137,Angel Reséndiz : The Railroad Killer
138,John Haigh : The Acid Bath Murderer
139,John Bunting : The Snowtown Murders
140,Elizabeth Wettlaufer : The Nightmare Nurse
141,Ion Rimaru : The Butcher of Bucharest
142,Mikhail Popkov : The Werewolf
143,Ivan Milat : The Backpacker Killer
144,Dayton Rogers : The Molalla Forest Killer
145,Ronald Dominique : The Bayou Strangler
146,Christopher Wilder : The Beauty Queen Killer
147,Mark Hacking : The Serial Liar
148,Cameron Hooker : The Girl in the Box
149,Josh Torres Part 02 : The Murder of Joey Negron
150,Josh Torres Part 01 : The Murder of Kim Antonakos
151,Stephen Grant : Making Room for the New Model
152,Martin Bryant : The Port Arthur Massacre
153,Peter Scully : The World's Worst Pedophile : GRAPHIC CONTENT
154,Kim Cargill : Trial By Fire
155,Mark Twitchell : The Dexter Copycat
156,Anthony Palma : The Disappearance of Kirsten Hatfield
157,Jean-Claude Romand : The Man with an Exit Plan
158,Robert Peernock : A Conspiracy of Murder
159,Anders Breivik : The Lone Marxist-Hunter
160,Patrick Frazee : A Baseball Bat & A Burn Pit
161,Allan Legere : The Monster of the Miramichi
162,Michael Dunn : You're Not Gonna Talk To Me That Way
163,Eli Stutzman Part 02 : Little Boy Blue
164,Eli Stutzman Part 01 : Barn Fires & Bodies
165,The Story of Cassandritz Blanc
166,The Story of Stacey Castor
167,Season 04 : Episode 16 : Gregory Green
168,Season 04 : Episode 15 : Shawn Bentler
169,The Story of Ayoola Ajayi
170,Season 04 : Episode 14 : Neil Entwistle
171,The Story of Issei Sagawa
172,Season 04 : Episode 13 : Magda Goebbels
173,National Stop Bullying Day
174,Season 04 : Episode 12 : Mark Barton
175,The Story of Dean Corll
176,Season 04 : Episode 11 : Christian Longo
177,The Story of Diane Downs
178,Searching For Justice: The Ryan Waller Story
179,Season 04 : Episode 10 : Robert Spangler
180,Season 04 : Episode 09 : Chad & Lori Daybell
181,The Story of the Bloody Benders
182,Season 04 : Episode 08 : John List
183,The Story of Jessica & Daniel Groves
184,Season 04 : Episode 07 : Marcus Wesson
185,The Story of Basil Borutski
186,Season 04 : Episode 06 : Chris Coleman
187,Season 04 : Episode 05 : Ronnie Oneal III
188,Season 04 : Episode 04 : Bart Whitaker
189,Season 04 : Episode 03 : Josh Powell Part 02
190,Season 04 : Episode 02 : Josh Powell Part 01
191,The Story of Lee Rodarte
192,Season 04 : Episode 01 : Chris Benoit
193,Season 04 Announcement
194,The Story of Jerrod Murray
195,Season 03 : Episode 14 : Double Feature: Crystal Howell & Tyler Hadley
196,The Story of Larry & Richie Carver
197,Season 03 : Episode 13 : Christopher Porco
198,Season 03 : Episode 12 : Donald Hartung
199,The Story of Dalton Aiken & Cory Fitzwater
200,Season 03 : Episode 11 : Dellen Millard
201,The Story of Michael Madison
202,Season 03 : Episode 10 : Cameron Rogers
203,The Story of Jason McIntosh
204,Season 03 : Episode 09 : Thomas Chan
205,The Mysterious Unsolved Tylenol Murders
206,The Story of Kevin Gregson
207,Season 03 : Episode 08 : Grant Amato
208,The Story of Lana Clayton
209,Season 03 : Episode  07 : Nathan Holden
210,The Mysterious Unsolved Murder of Jill Dando
211,Season 03 : Episode 06 : Jennifer Pan Part 2
212,Season 03 : Episode 05 : Jennifer Pan Part 1
213,The Mysterious Disappearance of Simon Kadwell and His Cult
214,The Story of Reginald Gibson
215,Season 03 : Episode 04 : Brandon Martin
216,The Mysterious Unsolved Tardy Furniture Murders
217,The Story of Lawrence Singleton
218,Season 03 : Episode 03 : Robert & Michael Bever
219,The Mysterious Disappearance of the Sodder Children
220,The Story of Kylr Yust
