,Title
0,Chloe Stein FAKED Her Own Kidnapping!?
1,Lies Exposed Around the Death of Shanquella Robinson
2,Woman Burns Deceased Husband's Will
3,Woman Arrested for Murdering Her Husband
4,Eye Drops Used as Poison
5,Hit By His Own Truck or Was He Murdered?! The Suspicious Death of Grant Solomon
6,Lesly Palacio’s Body Found
7,Heartbreaking Case of Lesly Palacio
8,Wife Murdered with Poison by Husband
9,Poison Case Gets Worse
10,Husband Poisons HIs Wife
11,Man Poisons His Wife
12,Lana Clayton Uses Eye Drops to Poison Her Husband?! The Visine Killer
13,Investigating Stacey Castor: The Woman that Murdered Her Husbands
14,Wife Murdered Her Husband?
15,Officers Don’t Believe Widows Story?
16,Poison or Natural Causes?
17,Dentist James Craig Poisons Wife's Protein Shakes
18,Self Defense or Premeditated Murder?
19,Man Charged With Murder
20,Two Men Shot in Walgreens Parking Lot?
21,Unsolved Case of the Bradley Sisters
22,Missing Persons Case Continued. Is Boyfriend Involved?
23,Man Tries to Murder Family
24,Wife Choose Not to Press Charges on Husband
25,Husband Drives Family Off Cliff?!?!
26,Family Survives Car Crash Off Cliff
27,Stacey Castor Poisoned Her Husbands And Blamed Her Daughter
28,Dharmesh Patel Drives His Whole Family Off a Cliff in His Tesla?!
29,Lauren Cho Walked Off Into the Desert & Her Body Was Found Months Later
30,What Really Happened to Chelsea Poorman? Found Abandoned on Mansion Porch
31,Murdaugh Murder Trial: From a Life of Power to a Life in Prison
32,South Carolina’s Most Corrupt Family: An In Depth Look Into the Murders of Paul and Maggie Murdaugh
33,Stepped Off the School Bus and Never Seen Again | The Disappearance of Ali Lowitzer ft. Her Mom
34,"Rejection, Jealousy, and Revenge | The Murder of Ryan Poston"
35,The Disappearance and Believed Murder of Ana Walshe | Is Husband Bryan Walshe Guilty?
36,Did Activity Tracker Help Solve Her Murder!? The Story of Connie Dabate
37,The Largest Manhunt in Chicago History At The Time & Still No Answers | The Bradley Sisters
38,Love Triangle Turns Deadly in a Walgreens Parking Lot | The Death of Emmett Corrigan
39,The Horrific Idaho Student Murders & What We Know About Bryan Kohberger So Far...
40,Future NBA Star Vanishes from Mountain Road: Where is Rico Harris?
41,Missing Baby Found After 51 Years: The Incredible Story of Melissa Highsmith
42,Lesly Palacio: Murdered After A Night Out in Vegas by a Family “Friend” & He’s Still on the Loose!
