,Title
0,When your roommate kills his family
1,When your son kills your daughter
2,Parents accidentally prove they are guilty | the case of Mary Welch
3,What it's like to date a 13 year old psychopath | dreading
4,"""check ur email"" : The case of William Melchert-Dinkel"
5,Why You Should Never Take The Stand In Your Own Defense
6,When You Accidentally Prove Your Boyfriend's Guilty
7,when you try to fake an insanity defense | the case of Aiden Fucci
8,Powell & Control: The Destruction of the Powell Family
9,The Red Surge: The Case of Elizabeth Wettlaufer
10,The House of Neglect: The Preventable Case of Lacey Fletcher
11,"""We Just Wanted To Be Famous"" The Case of the Bever Family"
12,"""That's just what men do"" : The Case of Danny Ray Beard"
13,What happened to Alexis Sharkey
14,Child Star: The Life and Legacy of Judith Barsi
15,"""I would never do this"": The Case of Jim Rauch"
16,The Strange Case of Chloe Ayling
17,Politician kills journalist for reporting on him | The Case of Rob Telles
18,PTA Mom framed by Lawyers | The Case of Jill Easter
19,What happened to Shanquella Robinson: Cover Up In Cabo
20,The Spy In the Duffelbag: The Suspicious Demise of Gareth Williams
21,"""The Scourge of Society"": The Idiotic Case of Dalton Aiken and Cory Fitzwater | dreading"
22,"""We Were Just Such Cosmopolitan People"" The Case of Prince Andrew | dreading"
23,Space Case: The Ridiculous Case of Lisa Nowak | dreading
24,Everyone Knew: The Case of Bill Cosby
25,"""Why Would I Lie?"" The Case of Yingying Zhang| dreading"
26,Selling Her Lies: Sherri Papini's First Interviews
27,"""What Was A Good Girl To Do?"" The Case of Betty Broderick"
28,Popcorn or Deadly Weapon?: The Trial of Curtis Reeves |dreading
29,Unknown Event: What Happened To Cindy James | dreading
30,The Case of Aaron Hernandez
31,"""I Wanted Her to Need Me"": The Life and Legacy of Emma Walker | dreading"
32,The Myspace Suicide: The Life and Legacy of Megan Meier |dreading
33,MISSING: The Unsolved Case of Stacey Smart | dreading
34,Foxcatcher Farms: The Case of John DuPont | dreading
35,The Case of Cherish Perrywinkle | dreading
36,Viral: The Life and Legacy of Amanda Todd | dreading
37,Forgotten Baby Syndrome: The Case of Cooper Harris | dreading
38,Deadly Narcissism: The Case of Derek Medina | dreading
39,"Good Cop, Bad Cop, Terrible Cop: The Interrogation of Jaylen Fleer"
40,The Case of James Rayl | dreading
41,Hide and Seek Gone Wrong? : The Case of Sarah Boone | dreading
42,When the Lies Run Out: The Interrogation of Sherri Papini |dreading
43,Everyone Knew : Bryan Singer | dreading
44,Little Girl Lost: The Case of Sandra Cantu
45,Where is Timmothy Pitzen? |dreading
46,The Tragic Demise of Sylvia Likens | dreading
47,7th Heaven: The Case of Stephen Collins | dreading
48,The Original Chris Watts: the case of Chris Coleman | dreading
49,The Case of Chris Benoit
50,False Confession: The Case of Victoria Martens | dreading
51,The Tragic Case of Connor and Brinley Snyder | dreading
52,Jeepers Creepers: The Case of Victor Salva | dreading
53,He left his mom's head boiling | the case of Joel Guy Jr
54,Jussie Smollett's Interview | dreading
55,The Cross Examination of Nancy Brophy | dreading
56,What Happened to Libby German and Abby Williams |dreading
57,P*do Politician Realises He's Been Caught
58,faking a hate crime for attention: the fictional case of Jussie Smollett |dreading
59,The Case of Kevin Spacey: An Open Secret | dreading
60,The Tragic Case of Phil Hartman | dreading
61,The Case of Dan Brophy| dreading
62,3 Unsolved Celebrity Kidnappings | dreading
63,The Case of Jared Fogle: From Five Dollar Foot Long to Felon | dreading
64,The Case of Sid and Nancy: Pop Culture's Most Romanticized Murder | dreading
65,The Case Of LaVena Johnson | dreading
66,The Case of Martin Bryant | dreading
67,"staging your own suicide: the case of ""GI Joe"" Gliniewicz |dreading"
68,The Interrogation and Trial of Anthony Todt |dreading
69,The Case of Roman Polanski |dreading
70,The Case Of Christina Grimmie | Dreading
71,The Case of Larry Nassar |dreading
72,The Case of Vanessa Guillen |dreading
73,The Case of Mark Salling |dreading
74,The Case of Bianca Devins | dreading
75,Thurston High Shooting: The Case of Kip Kinkel | dreading
76,"The Real Life ""Gone Girl"": Sherri Papini | dreading"
77,when a mother kills her children: the case of diane downs |dreading
78,The Case of Phil Spector |dreading
79,The Case of Nasim Aghdam | dreading
80,The Case of Ian Watkins |dreading
81,Josh Duggar: The Man Who (Almost) Got Away With Everything| dreading
82,The Case of Chandler Halderson | dreading
83,The Murder of Lauren Giddings | dreading
84,The Case of Patrick Giovanditto | dreading
85,The Disney World Family Annihilation | dreading
