,Title
0,The Unspeakable Murder of Savanna Greywind
1,This is What a Lazy-Bones Looks Like | Cart Narcs Documentary
2,The Darrell Brooks Show
3,The Scott Peterson Affair
4,He Who Defends Himself: The Legal Manoeuvres of Trevor Summers
5,The Strange Psychology of Russell Williams
6,How Chandler Halderson Didn't Come Close to Getting Away with Murder
7,The Weird World of Cults
8,Johnny and Amber: A Love Story
9,How Dennis Oland (probably) Got Away With Murder
10,The Endless Riddle of JonBenét Ramsey
11,The Scandalous Saga of Anthony Weiner
12,The Predators
13,"Denise Williams' Horrible, No Good, Very Bad Day"
14,The Memory Wars
15,The Only One Who Deserved to Stay - The Case of David Bain
16,George Floyd and Derek Chauvin - As it Happened and How it was Argued
17,The Coldest Case Ever Solved
18,The Lie of the Polygraph
19,The Curious Case of Sandy Melgar
20,A Tale of Two Narcissists: The Downfalls of Ted Haggard and John Edwards
21,Psychology of a Douchebag: The Case of Basil Borutski
22,Hot Seat: The Case of Justin Ross Harris
23,The Highly Controversial Case of Daniel Holtzclaw
24,The Case of Anthony Palma (Jim Can't Swim Imitation)
25,The Case of Denis Leary on Tough Crowd (Jim Can’t Swim Parody)
26,Old Crow Medicine Show - Brushy Mountain Conjugal Trailer (Not Fake!)
