,Title
0,Sarah literally thinks she's going home later...
1,"Son Spends $275,000 of Dad’s Money on Virtual Girlfriend"
2,Yeardley's Ex-Boyfriend
3,What pretending to be crazy looks like
4,Wrath of Jodi
5,Guilty until proven innocent.
6,Jennifer's Solution
7,There's Something About Casey...
8,"The Legend of ""Jeff"""
9,The Bizarre Case of Stephen McDaniel
10,The Case of Jon Koppenhaver
11,The Case of Michael Dunn
12,The Case of Lee Rodarte
13,The Curious Case of Dalia Dippolito
14,The Case of Michael Rafferty
15,The Case of Michael Drejka
16,The Interrogation of Stephanie Lazarus
17,The Interrogation of Col. Russell Williams
18,The Case of Chris Watts - Part 2 - The Polygraph
19,The Case of Chris Watts - pt. 1
