,Title
0,Coffee and Crime Time: Noel Rodriguez Alvarez
1,The Mystery Of The Missing Fort Worth Trio: Part 2
2,The Mystery of The Fort Worth Trio: PART 1
3,Strange & Unusual: CENTRALIA- Part 2
4,Strange And Unusual: CENTRALIA- Part 1
5,The Trial of Letecia Stauch: Part 1
6,Coffee and Crime Time: Leesa Marie Gray
7,Coffee and Crime Time: The Tragic Abundant Life Farms Double Murder
8,800K THANK YOU SO MUCH!
9,Coffee and Crime Time: Dr. James Craig Poisons His Wife's Protein Shakes
10,Coffee and Crime Time: Rhonda Casto
11,Jared From Subway And His House Of Cards: Part 2
12,Child Predator: Jared From Subway (Part 1)
13,Coffee and Crime Time: Abby Choi
14,Freaking Jared from Subway. Prison is too good for some people
15,Lucy Letby: Saint Or Sinner? Part 3
16,Something Is Coming.... (The Offering)
17,Lucy Letby: Helpful Nurse or Hurtful Monster? Part 2
18,Lucy Letby: UK NICU Nurse On Trial For Horrendous Crimes- Part 1
19,Coffee and Crime Time: LeeAnn Fletcher Hartleben
20,The Tragic Case of Katie and Steven Pladl
21,Coffee and Crime Time: Opelika Baby Doe: Her Name Was Amore And She Was Murdered
22,Coffee and Crime: Where is 11 Year Old Madalina Cojocari?
23,Coffee and Crime Time: What Happened To Ana Walshe? Cohasset Woman Missing since New Years Day
24,"Coffee and Crime Time: FLDS ""Prophet"" Samuel Bateman Arrested For Crimes Against Children"
25,Manipulated To Murder? Pamela Buchbinder and Jacob Nolan
26,Casey Anthony: The Last Lie
27,Coffee and Crime Time: Casey Anthony: Remembering???? Or Creating...
28,"Coffee and Crime Time: Casey Anthony ""Where the Truth LIES"""
29,The Missing Beaumont Children: Part 3- The Suspects
30,The Beaumont Children Disappearance: Part 2- From Glenelg To Wanda
31,The Missing Beaumont Children- Part 1: Glenelg Beach
32,University of Idaho Murders: Who Did This?!
33,Coffee and Crime Time: Shanquella Robinson & The Cabo 6
34,Xavior Harrelson and Mollie Tibbetts- What Really Happened?
35,Coffee and Crime Time: Nohema Graber
36,Harloween: Anneleise Michel- The Last Exorcism (Part 3)
37,Harloween: Anneliese Michel- The Exorcisms Begin (Part 2)
38,Harloween: The Exorcism of Anneliese Michel (PART 1)
39,Harloween: Black Eyed Children
40,Harloween: The 1938 Alien Invasion Of The East Coast
41,Harloween: The Most Disturbing Places On Earth
42,Harloween: The Real Life Candy Man
43,Coffee and Crime Time: Eliza Fletcher
44,Coffee and Crime Time: The Laundrie's And The Lawsuit
45,"Coffee and Crime Time: Brian Laundrie and His ""Confession"""
46,Coffee and Crime Time: Christian Obumseli
47,Coffee and Crime: Newlywed Christie Chen Killed On Her Honeymoon
48,Alcatraz Prison: The Conclusion- Part 3
49,Alcatraz Prison: The Great Escape- Part 2
50,Alcatraz Prison: No Escape- Part 1
51,Coffee and Crime Time: Ezekiel Harry
52,Nicholas Barclay: Part 2- Two Lost Boys
53,Nicholas Barclay: Part 1- A Kidnapped Boy Escapes
54,Coffee and Crime Time: What Happened To Dylan Rounds?
55,Where Is Michael Rockefeller? Part 3
56,What Happened To Michael Rockefeller? PART 2
57,What Happened To Michael Rockefeller? Part 1
58,"Dryden NY, A Town Of Tragedy: Part 3- A High School Destroyed"
59,Dryden NY: A Town Of Tragedy: Part 2- Aliza May Bush
60,Dryden: A Town Of Tragedy: The Harris Family PART 1
61,Coffee and Crime Time: Orsolya Gaal
62,Coffee and Crime Time: The Tragic Unsolved Case of Rosie Tapia
63,Ellen Rae Greenberg: Part 2- Experts Agree
64,Ellen Rae Greenberg: A Locked Door: Part 1
65,Coffee and Crime Time: Alicia Monet Jackson
66,Where Is Shelly Miscavige? Part 2
67,Shelly Miscavige & Scientology: Part 1
68,Strange & Unusual: Karolina Olsson- The Girl Who Slept For 32 Years
69,Hannah Wesche- Is Lindsay Partin Innocent?: Part 2
70,Hannah Wesche: Babysitter on Trial For Murder- Part 1
71,Coffee and Crime Time: Orrin and Orson West
72,Strange & Unusual: The Stairs In The Woods
73,Coffee and Crime Time: A Deeper Look Into The Case of Candace Hiltz
74,Strange & Unusual: The Korovina Group Incident
75,Coffee and Crime Time: What We Know About Harmony Montgomery So Far
76,Anne Marie Fahey- Part 5: The Final Lie
77,Anne Marie Fahey- Part 4: The Summer Wind
78,Anne Marie Fahey: Part 3- A Wilmington Scandal
79,Anne Marie Fahey: Part 2- Tommy and Annie
80,Anne Marie Fahey: Part 1- A Beautiful Life
81,The Disturbing Case of Rachel Barber (Part 2)
82,The Disturbing Case of Rachel Barber (Part 1)
83,Coffee and Crime Time: 5 Year Old Oakley Carlson: Missing and Endangered
84,Coffee and Crime Time: Who Is Kegan Kline- Delphi Update
85,Coffee and Crime Time: What Was She Running From?
86,Coffee and Crime Time: Shauna Howe And Oil City Pennsylvania
87,Serial Killers: Dennis Nilsen- Muswell Hill: Part 3
88,Serial Killers: Dennis Nilsen- A Serial Killer In London- Part 2
89,Serial Killers- Dennis Nilsen: Part 1
90,Coffee and Crime Time: Where Is Heidi Planck?
91,Coffee and Crime Time: Houston House of Horrors
92,Adam: A Boys Torso Found In The River Thames: Part 2
93,Harloween: The Boy In The Thames Part 1
94,Harloween: The Flannan Isles Lighthouse Mystery
95,Harloween: The Bizarre Case Of The Jamison Family
96,Harloween: The Most Dangerous Game In The World
