,Title
0,CASSIE STODDART: THE SCREAM KILLERS
1,SOLVED | THE DISCORD KILLER
2,The Mysterious Death of Annie Börjesson | Was it a CIA Cover-Up?
3,MOVING TO THE OTHER SIDE OF THE WORLD & London Rental Hunting
4,SOLVED AFTER NEARLY 30 YEARS: The Case of Mandy Stavik
5,THE COUGH SYRUP KILLER: The Case of Lauren Hugelmaier
6,SOLVED: The Case of the Pan Family | Jennifer Pan’s Web of Lies
7,The Suitcase Murder: Bill and Melanie McGuire
8,The Noida Double Murders | Aarushi Talwar and Hemraj Banjade
9,SOLVED AFTER 33 YEARS: The Case of Carrie Ann Jopek
10,The Body Found in the Drain: The Disturbing Case of Adam Strong
11,The Tragic Murders of the McStay Family
12,The Most Evil Granny Ever | THE GRANNY RIPPER
13,The Case of Kim Wall | The Submarine Murder
14,The Tragic Case of Ryan Waller
15,THE SMILING KILLER | The Case Of Lynsey Wilson Quy
16,THE CASE OF SOPHIE LIONNET
17,"THE CASE OF JOHN DARWN, THE CANOE MAN"
18,The Case of Ann Maguire | Murdered By Her Student In Class
19,THE DARKNESS WITHIN | THE CASE OF ANGELA DIAZ
20,The Case of Lori Erica Ruff | What Dark Secret Was She Hiding?
21,THE DISTURBING CASE OF CARL TANZLER
22,THE UNBELIEVABLE CASE OF THE ERIKSSON TWINS
23,THE PIG FARM KILLER
24,THE DISTURBING CASE OF DANIEL LAPLANTE | The Boy In The Walls
25,How A Rolex Unravelled A Killers Web Of Lies | The Case Of Albert Walker
26,The Mysterious Case of The Tromp Family
27,She Fell In Love With a Murderer And Then She Was Killed | The Case of Louise Ellis
28,She Held a Goodbye Party For Her Boyfriend Before Killing Him | THE CASE OF JOE CINQUE
29,THE DATING GAME KILLER
30,THE MAN IN THE ATTIC | THE BIZARRE CASE OF DOLLY OESTERREICH
31,THE BEGA SCHOOLGIRL MURDERS
32,THE HONEYMOON MURDER: The Case Of Anni Dewani
33,THE CASE OF CARI FARVER | THE CRAZIEST LOVE TRIANGLE EVER | Part 2
34,A LOVE TRIANGLE GONE WRONG: The Case of Cari Farver
35,THE BIZARRE CASE OF ELIZABETH BARRAZA
36,THE SANTA CLAUS BANK ROBBERY
37,THE SANTA STRANGLER
38,THE DISAPPEARANCE OF PATTY VAUGHAN
39,SOLVED: THE DISAPPEARANCE OF MELISSA BRANNEN
40,THE TRAGIC DISAPPEARANCE OF NIKOLE BETTERSON
41,THE ORDERUD MURDERS
42,THE INSANE CASE OF MICHAEL AND DALIA DIPPOLITO
43,Bella Fiori Live Stream
44,THE MURDER OF SYLVIA LIKENS
45,The Taconic State Parkway Crash: What's wrong with Aunty Diane?
46,MISSING MAN FOUND ALIVE AFTER 23 YEARS! The Case of Richard Hoagland
47,THE BURGER CHEF MURDERS
48,THE TAXI DRIVER KILLER: Mark Errin Rust
49,The Case of Betty Shanks - Queensland's Longest Running Cold Case
50,THE TRAGIC MURDER OF JANINE BALDING
51,THE FAMILY MURDERS part 2
52,THE FAMILY MURDERS
53,THE HORRIFIC MURDER OF PETER ASTON
54,THE TRURO MURDERS
55,THE SETAGAYA MURDERS
56,THE MURDER OF JANELLE PATTON
57,THE GRANNY KILLER
58,The Tragic Murder of Virginia Morse
59,THE KIMBERLEY KILLER: THE REAL LIFE WOLF CREEK
60,The Case of Mary Bell: The 11-year-old serial killer
61,THE CASE OF GRAEME THORNE - australia's first case of kidnapping for ransom
62,THE CASE OF MR CRUEL
63,SHORT RIB RAGU & FRESH PASTA | COOKING WITH BELLA
64,THE CRAZY CASE OF GIRLY CHEW HOSSENCOFFT - PART TWO
