,Title
0,When An Evil Mother Realizes She's Been Caught
1,Predator Realizes He's Going To Prison For Life
2,When A Psychopath Realizes A Little Girl Tricked Him
3,When the Detective is a Criminal
4,When A Killer Doesn't Realize He's Being Filmed
5,When Police Unexpectedly Film The Killer At The Crime Scene
6,Detective Realizes The Victim Is Actually The Killer
7,When The Killer Doesn't Realize What He's Done
8,The Most Chilling Interrogation Ever Filmed
9,13 Year Olds Murder Grandma For $155
10,When A Killer Doesn't Realize He's Being Filmed
11,When Evil Parents Realize They've Been Caught
12,When the Killer Thinks He's Smarter Than the Detective
13,When A Killer Thinks He's A Genius (but he's an idiot)
14,When Teens Realize They're Going to Prison For Murder
15,Killer Stepmom MELTS DOWN After Killing Little Girl
16,The Most SHOCKING Moment Ever Recorded in the Interrogation Room
17,The Pig Farm Killer's Shocking Interrogation Tapes
18,Insane Killer Goes NUTS In Police Department
19,Craziest Moments Ever Recorded in an Interrogation Room
20,The Craziest Interrogation You'll Ever See
21,When Evil Teens Realize They've Been Caught
22,Moments Before A Killer Snaps
23,When An Evil Babysitter Realizes She's Been Caught
24,Teen Killer Shocks Detectives By The Way He Speaks
25,When A Psychopath Realizes He's Been Caught
26,When A Killer Thinks He's A Genius (but he's an idiot)
27,Sharing Your Murder on Facebook
28,16 Pounds At 5 Years Old: The Sickening Case of Cali Anderson
29,Matthew's Bizarre House of Horrors
30,Moments Before A Killer Does The Unthinkable
31,When Teen Killers Realize They've Been Caught
32,The Mass Killer Who Murdered 8 For A My Little Pony Character
33,A Husband's House of Horrors
34,The Father Who Went On A 30 Year Killing Spree
35,Interrogation of an EVIL Brother: Killed His Little Brother For the Unthinkable
36,When A Crazy Girlfriend Finally Snaps
37,The Most Twisted Interrogation You'll Ever See
38,Detective Realizes Killer Is Hiding The Unthinkable
39,Shocking Moment Killer Realizes He's Been Caught Years Later
40,The Horrifying Crimes of Brian Golsby
41,Mitchelle Blair's House of Horrors
42,What A 15 Year Old Mass Killer Looks Like
43,When A Killer Doesn't Realize He's Being Recorded
44,What A Psychopath Looks Like | Educational Documentary
45,The Craziest Interrogation You'll Ever See
46,The Mother Who Launched Her Newborn Baby Into A Dumpster
47,The Most Shocking Interrogation You've Ever Seen: Markeith Loyd | Documentary
48,A 16 Year Old Killer's Video Diary | Documentary
49,When A Teen Killer Realizes She's Been Caught
50,The Disturbing Case of the House of Horrors Killer | Documentary
51,Detective Realizes The 12 Year Old Suspect Is Insane
52,The Disturbing Case of the Scream Killers
53,The Disturbing Case of the Amazon Review Killer
54,Last Photos With Disturbing Backstories
55,These Boys Went Through Hell: The Dozier School of Horrors
56,Brothers Turned Mass Killers: The Horrifying Solved Case of the Carr Brothers
57,YouTuber Turned Mass Murderer: The Insane Case of Randy Stair
58,When The Detective Realizes The Suspect Is Dying
59,Normal Looking Photos With Disturbing Backstories
60,The Dead Body in the Bed: The Heartbreaking Case of Paulette Gebara Farah
61,Solved Cases With The Most INSANE Twists You've Ever Heard
62,The Teens Who Tortured Their Friend To Death
63,Cases With The Most INSANE Twists You've Ever Heard
64,A Man's Bizarre Explanation For Killing His Best Friend
65,This Horrifying Photo Holds Clues to a Missing Persons Case
66,Snapchat Footage Taken By Murdered Girls Reveals CHILLING Clues
67,He Hunted His Victims Down To Turn Them Into Smoothies: The Dark Case of Richard Chase
68,The Case of the Tinder Killer
69,YouTuber Turned Family Annihilator: The Insane Case of Trey Sesler
70,A Case Almost Too Gruesome To Mention: Mary Vincent
71,The Disturbing STORY of Tatiana Dugger: Missing Girl Found Dead By Hikers | True Crime & Murder News
72,The Disturbing STORY of Sarah Everard: Missing Girl Caught On CCTV Before Murder | True Crime News
73,Home Intruder Attacks the WRONG Family: Kids Take Him DOWN • 3 Stories of Hero Kids
74,"Father Murdered, Teen Daughter & Boyfriend Arrested"
