,Title,PublishedDate,Views,Likes,Comments,Description,Month,Channel
0,When your roommate kills his family,2023-05-17,270909,12975,1754.0,consider supporting us via patreon : https://patreon.com/dreading,May,dreading (crime and psychology)
1,When your son kills your daughter,2023-05-10,303054,14765,1973.0,"consider supporting us via patreon : https://patreon.com/dreading

Sources used in video 
https://wildbluepress.com/charity-lee-author-bio/
https://nypost.com/2020/01/13/why-my-monster-son-murdered-and-molested-my-daughter/
https://www.dailymail.co.uk/femail/article-7889845/Charity-Lee-son-Paris-Bennett-murdered-daughter-Ella-reveals-sexually-assaulted-her.html
https://www.youtube.com/watch?v=ZbbD4fnXhVY
https://www.youtube.com/watch?v=HjChHqAz_dA&ab_channel=HDDoccumentries",May,dreading (crime and psychology)
2,Parents accidentally prove they are guilty | the case of Mary Welch,2023-05-06,440663,12334,4537.0,"consider supporting us via patreon : https://patreon.com/dreading

time stamps for ease of viewing 
0:00-03:28 introduction 
3:28-10:16 Mary Welch 
10:16-1:35:48 Tatiana's interrogation 
1:35:48-2:20:02 Seth's Interrogation 
2:20:02-2:35:15 their recorded conversation 
2:35:15-2:38:09 the aftermath 
2:38:09-3:06:58 seth's interview 
3:06:58-3:07:54 the aftermath 2",May,dreading (crime and psychology)
3,What it's like to date a 13 year old psychopath | dreading,2023-04-26,250636,9193,1304.0,"consider supporting us via patreon : https://patreon.com/dreading


Video source 
https://www.youtube.com/@CrimeCircusCult
https://www.youtube.com/watch?v=sb_pXXLtDog&t=472s
https://www.youtube.com/watch?v=ikOIynDNXRc
https://www.youtube.com/watch?v=FhP0wJY9Cys
https://www.youtube.com/watch?v=hg_EAVMmr98

Our original video on this case 
https://www.youtube.com/watch?v=ABTw9cXjvss&t=1s

Our video on Chandler Halderson’s Ex 
https://www.youtube.com/watch?v=hb6S1B4hU6s&t=344s",Apr,dreading (crime and psychology)
4,"""check ur email"" : The case of William Melchert-Dinkel",2023-04-19,249129,16219,1731.0,"consider supporting us via patreon : https://patreon.com/dreading




Sources for this video 
https://www.cbc.ca/news/world/man-who-aided-ont-teen-s-suicide-gets-year-in-jail-1.1004584
https://www.taipeitimes.com/News/world/archives/2010/04/25/2003471413
https://www.theglobeandmail.com/news/national/nurse-may-be-linked-to-multiple-suicides-tracker-says/article1154777/
http://web.archive.org/web/20171014035043/http://www.nytimes.com/2009/10/18/us/18suicides.html?_r=3
https://piwindowonbusiness.wordpress.com/2010/11/26/a-shattered-family-melchert-dinkels-forgotten-victims/
https://www.theguardian.com/us-news/2015/dec/28/minnesota-suicide-conviction-william-melchert-dinkel-mark-drybrough
https://www.nydailynews.com/news/national/nurse-william-melchert-dinkel-suicide-fetish-online-provoke-people-deaths-cops-article-1.388085
https://www.dailymail.co.uk/news/article-1360538/William-Melchert-Dinkel-defends-encouraging-online-suicide-Theyll-die-anyway.html
https://web.archive.org/web/20100508114132/http://www.cbc.ca/news/pdf/melchert-dinkel-complaint.pdf
https://www.nytimes.com/2010/05/14/us/14suicide.html
http://www.mprnews.org/story/2014/09/09/assisted-suicide-ex-nurse",Apr,dreading (crime and psychology)
5,Why You Should Never Take The Stand In Your Own Defense,2023-04-12,344929,10056,3391.0,"consider supporting us via patreon : https://patreon.com/dreading

the original full uploads:
The case of Tony Todt part 1 & 2 : 
https://youtu.be/z4SCAlIOxrM
https://youtu.be/ExAPVHARNyQ

the case of Nancy Brophy 1 & 2: 
https://youtu.be/v-iHE3cGTDo
https://youtu.be/pzcps5D5Vkw

the case of Curtis Reeves: 
https://youtu.be/IFYOuMo8X4Y

the case of Betty Broderick:
https://youtu.be/T5gpEkYwEQ8


timestamps for ease of viewing 
0:00-2:12:00 the case of tony todt 
2:12:00-4:02:03 the case of nancy brophy 
4:02:03-6:17:26 the case of curtis reeves
6:17:26-8:09:46 the case of betty broderick",Apr,dreading (crime and psychology)
6,When You Accidentally Prove Your Boyfriend's Guilty,2023-04-06,1119203,32640,7356.0,"link to the original footage - https://www.youtube.com/watch?v=T1uMkahrBi4&ab_channel=RottweilerInvestigations

original video done on Chandler: https://youtu.be/PWOskVoWfGE

consider supporting us via patreon : https://patreon.com/dreading

timestamps for ease of viewing 
0:00-3:02 intro 
3:02-23:22 the abridged case of Chandler Halderson 
23:22-1:39:13 Kat's Interviews",Apr,dreading (crime and psychology)
7,when you try to fake an insanity defense | the case of Aiden Fucci,2023-03-31,231019,9541,1996.0,"description is under construction 

consider supporting us via patreon : https://patreon.com/dreading\

timestamps for ease of viewing 
0:00-4:24 intro
4:24-10:16 the life and legacy of tristyn bailey 
10:16-16:02 aiden fucci
16:02-21:56 may 9th
21:56-38:09 the recording 
38:09-40:01 the aftermath",Mar,dreading (crime and psychology)
8,Powell & Control: The Destruction of the Powell Family,2023-03-28,433839,15237,5009.0,"consider donating to the Susan Cox Powell Foundation: https://tinyurl.com/2fhv7vmk
consider supporting us via Patreon: https://patreon.com/dreading

Timestamps for ease of viewing 
0:00-2:14 introduction 
2:14-8:19 josh powell 
8:19-11:13 the marriage pt 1
11:13-13:55 “I Said I Love You” by Steve Chantrey 
13:55-40:52 the marriage pt 2
40:52-45:25 where is Susan 
45:25-3:29:32 josh’s interview
3:29:31-3:36:47 further investigation 
3:36:47-3:58:48 charlie’s interview 
3:58:48-4:10:26 the aftermath 
4:10:26-4:12:28 steven powell
4:12:28-4:19:35 custody 
4:19:35-4:35:35 the boys 

Sources 
https://www.susancoxpowellfoundation.net/
https://web.archive.org/web/20101209005204/http://susanpowell.org/Pages/Default.aspx
https://web.archive.org/web/20110604214035/http://www.sltrib.com/news/ci_14033069?source=rss
http://www.nydailynews.com/news/crime/utah-man-brother-suspects-susan-powell-case-article-1.1350372
https://archive.sltrib.com/article.php?id=53483190&itype=CMSID
http://mynorthwest.com/1183742/josh-powells-ex-girlfriend-speaks-first-time/?
https://web.archive.org/web/20170504135437/http://www.insideedition.com/headlines/2972-strange-twist-in-susan-powell-case-father-in-laws-love-songs
https://thecoldpodcast.com/episode-2-wake-up-little-susie-susan/
https://web.archive.org/web/20180116230710/http://archive.sltrib.com/article.php?id=54004579&itype=CMSID
https://www.deseret.com/2012/2/5/20250032/detailed-timeline-of-events-surrounding-josh-powell-susan-cox-powell#the-parents-of-susan-powell-chuck-cox-far-right-judy-cox-second-from-right-and-grandparents-john-cox-second-from-left-and-anne-cox-take-part-in-a-candlelight-vigil-for-their-daughter-at-the-church-of-jesus-christ-of-latter-day-saints-in-puyallup-wash-sunday-dec-20-2009-susan-powell-has-been-missing-since-dec-7
https://web.archive.org/web/20091213043912/http://www.sltrib.com/news/ci_13954018
https://web.archive.org/web/20120428223239/http://usnews.msnbc.msn.com/_news/2012/03/30/10945991-court-documents-susan-powells-blood-hand-written-note-expressing-fear-were-found-in-utah-home
https://web.archive.org/web/20091214151610/http://www.foxnews.com/story/0,2933,580001,00.html?test=latestnews
https://web.archive.org/web/20110604214035/http://www.sltrib.com/news/ci_14033069?source=rss
https://abcnews.go.com/GMA/susan-powell-husband-named-person-interest-wifes-disappearance/story?id=9349672#.TzGuoa6IOBU
https://web.archive.org/web/20101208042643/http://susanpowell.org/Pages/Response/Steven-Koecher-Susan-Powell/Steven-Koecher-Susan-Powell-Parallel-Utah-Disappearances-Connection.aspx
https://web.archive.org/web/20170512003828/https://abcnews.go.com/blogs/headlines/2012/12/stephen-powell-took-thousands-of-images-of-in-law-susan-powell/
https://abcnews.go.com/US/susan-powells-father-law-arrested-child-porn-voyeurism/story?id=14590503
https://abcnews.go.com/US/josh-powells-sister-believes-innocent-wifes-disappearance/story?id=15545887#.TzxQ104geQw
http://archive.sltrib.com/story.php?ref=/sltrib/news/53405740-78/powell-website-josh-police.html.csp
http://www.komonews.com/news/local/Autu-138825199.html",Mar,dreading (crime and psychology)
9,The Red Surge: The Case of Elizabeth Wettlaufer,2023-03-23,609699,17471,2769.0,consider supporting us via patreon : https://patreon.com/dreading,Mar,dreading (crime and psychology)
