,Channel_name,Subscribers,Views,Total_videos,playlist_id
0,Bailey Sarian,6900000,983883591,524,UUtNdVINwfYFTQEEZgMiQ8FA
1,JCS - Criminal Psychology,5400000,387840674,20,UUYwVxWpjeKFWwu8TML-Te9A
2,BuzzFeed Unsolved Network,5380000,1924183404,675,UUKijjvu6bN1c-ZHVwR7-5WA
3,EXPLORE WITH US,3850000,745852128,431,UUJWKjrrUh2KL1d3zXQW79cQ
4,Kendall Rae,3530000,603325439,686,UUKBaL17hXLGJvi2KZKpja5w
5,Bella Fiori,2580000,277775805,443,UUaezsZGhwWgB4ZRmHNCfIyw
6,Eleanor Neale,2530000,425109524,239,UUFMbX7frWZfuWdjAML0babA
7,That Chapter,1860000,711256707,490,UUL44k-cLrlsdr7PYuMU4yIw
8,Coffeehouse Crime,1680000,227036050,164,UUcUf33cEPky2GiWBgOP-jQA
9,Dr. Todd Grande,1290000,321104020,2842,UUC_0vyFTKk1Nlodo4QsiQkw
10,Stephanie Harlowe,814000,154332724,496,UUlVF8RcTN3UqAognWFGlJcg
11,Danielle Kirsty,806000,124123583,239,UU7QBeubzVIOqFjUjd_gNEBQ
12,48 Hours,781000,216116349,1375,UU7htuVs06oduI3xSfTdcxPA
13,Annie Elise x 10 to LIFE,740000,96341724,448,UUOK0fZAUx82plnLhTKZW6qg
14,this is MONSTERS,645000,130784529,304,UU43NNGKNN6I3KqT963L6o6Q
15,dreading (crime and psychology),535000,59464304,86,UUG-qQe1mnh4JVKhuJkdh8KA
16,The Casual Criminalist,450000,63793579,245,UUp1tsmksyf6TgKFMdt8-05Q
17,Matt Orchard - Crime and Society,210000,12738416,27,UUYUZ0gWRp_HQCVEz0OovuAg
18,Joshua Miles,187000,18129685,171,UUu6hgG6SUHhAa2clb66hRhw
19,The Crime Reel,99100,11676584,213,UU8uw4lQjJnNZBxJu8_ATV5w
20,The Little Shop of Crime,46200,2011714,24,UUs9sNzoR8ReeqPC8EB-HjXg
