,Title,PublishedDate,Views,Likes,Comments,Description,Month,Channel
0,"He Turned his victims into ""BBQ Pork""... | The Horrors of Henry Chau",2023-05-18,530010,25385,1625,"Henry Chau was a troubled man. He was a consistent failure and never managed to achieve anything of value in nearly 30 years of his life. And when his parents finally kicked him out of their home, there would be hell to pay...

➤ Patreon: https://www.patreon.com/coffeehousecrime 
➤ Instagram: https://www.instagram.com/coffeehousecrime/
➤ Twitter: https://twitter.com/coffeehcrime
➤ Facebook: https://www.facebook.com/coffeehousecrime
➤ Animated Background by Featherwax Studio: https://featherwax.com

00:00 Intro
01:32 Hong Kong
03:14 Henry Chau's history
06:17 Angus Tse
08:25 Cracks...
10:27 March 15th, 2013
11:56 Henry's evil plan
15:08 Legal proceedings
20:48 Outro

DISCLAIMER: Great effort is made to ensure all materials in Coffeehouse Crime's videos fall within the guidelines of fair use. No copyright infringement is intended. If you are or represent the copyright owner of any materials accidentally used in this video and have an issue with its use, please contact me, and I will respond as soon as possible.",May,Coffeehouse Crime
1,She lured men in to murder them... | The Case of Domina Cherry,2023-05-15,543201,29386,2986,"Sarah M, also known as Domina Cherry, had a highly questionable taste in people that she chose to idolise... and ultimately, her sick fantasies driven by her infatuation for the murderers she worshipped would drive her to the coldest type of crime imaginable... 

➤ Patreon: https://www.patreon.com/coffeehousecrime 
➤ Instagram: https://www.instagram.com/coffeehousecrime/
➤ Twitter: https://twitter.com/coffeehcrime
➤ Facebook: https://www.facebook.com/coffeehousecrime
➤ Animated Background by Featherwax Studio: https://featherwax.com

00:00 Intro
01:41 Germany
02:48 Sarah ""Domina Cherry"" M's troubling history
06:10 Modus Operandi...
11:15 May 2021
15:40 Legal Proceedings, psychology.
20:50 Zayed
21:55 Outro

DISCLAIMER: Great effort is made to ensure all materials in Coffeehouse Crime's videos fall within the guidelines of fair use. No copyright infringement is intended. If you are or represent the copyright owner of any materials accidentally used in this video and have an issue with its use, please contact me, and I will respond as soon as possible.",May,Coffeehouse Crime
2,The Horrific Couple who Lured and Murdered Jaren Lockhart...,2023-05-08,616048,30565,1929,"In June 2012, several communities along the Mississippi gulf coast woke to the disturbing news of several body parts washed along the shore. In tandem, Jaren Lockhart had disappeared, and friends and family feared the worst... 

➤ Patreon: https://www.patreon.com/coffeehousecrime 
➤ Instagram: https://www.instagram.com/coffeehousecrime/
➤ Twitter: https://twitter.com/coffeehcrime
➤ Facebook: https://www.facebook.com/coffeehousecrime
➤ Animated Background by Featherwax Studio: https://featherwax.com

00:00 Intro
01:19 Mississippi 
02:56 Jaren Lockhart
05:41 Dancing
07:00 June 2012
10:26 Aftermath
12:07 Terry Speaks and Margaret Sanchez 
15:02 News report
16:15 Legal proceedings... against each other
22:06 Remembering Jaren
23:39 Outro

DISCLAIMER: Great effort is made to ensure all materials in Coffeehouse Crime's videos fall within the guidelines of fair use. No copyright infringement is intended. If you are or represent the copyright owner of any materials accidentally used in this video and have an issue with its use, please contact me, and I will respond as soon as possible.",May,Coffeehouse Crime
3,The Obsessive Ex that got away with Murder...,2023-05-03,736349,34306,3213,"True crime: In April 2014, Mayka Kukucova Ambushed Andrew Bush in his Costa Del Sol holiday home. Although she was found guilty of murder, she would eventually slip through the justice system and live it up in Spain, despite her evil actions.

➤ Patreon: https://www.patreon.com/coffeehousecrime 
➤ Instagram: https://www.instagram.com/coffeehousecrime/
➤ Twitter: https://twitter.com/coffeehcrime
➤ Facebook: https://www.facebook.com/coffeehousecrime
➤ Animated Background by Featherwax Studio: https://featherwax.com

00:00 Intro
01:15 Costa Del Sol
02:55 Andrew Bush
06:43 Mayka Kukucova
08:53 Andrew and Mayka's doomed relationship
13:23 April 2014
16:40 Aftermath
18:55 Legal Proceedings
21:46 Getting away with it...
24:58 Outro

DISCLAIMER: Great effort is made to ensure all materials in Coffeehouse Crime's videos fall within the guidelines of fair use. No copyright infringement is intended. If you are or represent the copyright owner of any materials accidentally used in this video and have an issue with its use, please contact me, and I will respond as soon as possible.",May,Coffeehouse Crime
4,The Chilling CCTV Footage that Captured Zara Aleena's Killer...,2023-04-27,701707,32508,3342,"On June 26th 2022, dozens of surveillance cameras around London captured the movements of serial offender Jordan Mcsweeney. Although these CCTV cameras would help convict him of his terrible crimes, it was all too late for the amazing young woman whom he had taken from the world. 

➤ Patreon: https://www.patreon.com/coffeehousecrime 
➤ Instagram: https://www.instagram.com/coffeehousecrime/
➤ Twitter: https://twitter.com/coffeehcrime
➤ Facebook: https://www.facebook.com/coffeehousecrime
➤ Animated Background by Featherwax Studio: https://featherwax.com

00:00 Intro
01:13 Ilford, London
02:35 The life of Zara Aleena
05:15 Jordan Mcsweeney
07:05 CCTV Footage - The night of June 26th 2022
12:35 Aftermath
15:58 Arrest, legal proceedings
18:40 How the justice system failed Zara
20:35 Remembering Zara Aleena
22:32 Outro

DISCLAIMER: Great effort is made to ensure all materials in Coffeehouse Crime's videos fall within the guidelines of fair use. No copyright infringement is intended. If you are or represent the copyright owner of any materials accidentally used in this video and have an issue with its use, please contact me, and I will respond as soon as possible.",Apr,Coffeehouse Crime
5,The Horrific Discovery in the Walls of their Restaurant...,2023-04-24,822582,35445,4335,"True crime: Following the disappearance of young Ashley Zhao, the community of Jackson Township rallied to her family's aid. Little did they know, a very disturbing secret was waiting to be found in the walls of their family-run restaurant. 

➤ Patreon: https://www.patreon.com/coffeehousecrime 
➤ Instagram: https://www.instagram.com/coffeehousecrime/
➤ Twitter: https://twitter.com/coffeehcrime
➤ Facebook: https://www.facebook.com/coffeehousecrime
➤ Animated Background by Featherwax Studio: https://featherwax.com

00:00 Intro
01:24 Ohio
02:54 The Zhao family
05:57 Work over family
06:58 911 CALL
09:41 Desperate searches
12:12 Discovery
13:48 Reason and interrogation
28:55 Legal Proceedings
32:04 Sidenotes, 
32:49 Remembering Ashley
33:47 Outro, Giveaway!

DISCLAIMER: Great effort is made to ensure all materials in Coffeehouse Crime's videos fall within the guidelines of fair use. No copyright infringement is intended. If you are or represent the copyright owner of any materials accidentally used in this video and have an issue with its use, please contact me, and I will respond as soon as possible.",Apr,Coffeehouse Crime
6,The Murderous Love Triangle that claimed two lives...,2023-04-20,659587,30985,2829,"TRUE CRIME: In the early morning hours of June 8th 2020, and deep in the grasslands of Johannesburg, an environmental worker stumbled across a terrible scene… What followed was an extensive search operation to find Tshegofatso's killer killer, and, as it turns out, investigators wouldn’t have to look far…

➤ Patreon: https://www.patreon.com/coffeehousecrime 
➤ Instagram: https://www.instagram.com/coffeehousecrime/
➤ Twitter: https://twitter.com/coffeehcrime
➤ Facebook: https://www.facebook.com/coffeehousecrime
➤ Animated Background by Featherwax Studio: https://featherwax.com

00:00 Intro
01:24 South Africa
02:21 Tshegofatso Pule
04:10 Ntuthuko Shoba 
05:21 Love Triangle
10:22 June 8th 2020
12:40 CCTV Footage
14:28 Piecing the story together... 
15:46 Legal Proceedings
21:27 Remembering Tshego and her sisters
23:45 Outro

DISCLAIMER: Great effort is made to ensure all materials in Coffeehouse Crime's videos fall within the guidelines of fair use. No copyright infringement is intended. If you are or represent the copyright owner of any materials accidentally used in this video and have an issue with its use, please contact me, and I will respond as soon as possible.",Apr,Coffeehouse Crime
7,The Girl Who Came Back From The Dead... | The Case of Delimar Vera,2023-04-17,546704,30638,1912,"Start speaking a new language in 3 weeks with Babbel! 🎉 Get up to 60% OFF your subscription HERE: https://go.babbel.com/t?bsc=1200m60-youtube-coffeehousecrime-apr-2023&btp=default&utm_term=generic_v1&utm_medium=paidsocial&utm_source=YouTube&utm_content=Influencer..coffeehousecrime..USA..YouTube 🔴 After a devastating housefire, the Vera family thought they had lost their daughter Delimar... But Delimar's mother, Luz, was not convinced. Despite being certain that her baby had been stolen, no signs of Delmar ever showed up... That would be until January 2004. 

➤ Patreon: https://www.patreon.com/coffeehousecrime 
➤ Instagram: https://www.instagram.com/coffeehousecrime/
➤ Twitter: https://twitter.com/coffeehcrime
➤ Facebook: https://www.facebook.com/coffeehousecrime
➤ Animated Background by Featherwax Studio: https://featherwax.com

00:00 Intro
02:22 Philidelphia
03:26 Delimar's family
04:56 An uneasy visit...
07:12 Aftermath
10:46 January 2004
11:43 Proving it's you... 
14:50 Tests and Legal Proceedings
19:00 Moving forward
19:48 Outro

DISCLAIMER: Great effort is made to ensure all materials in Coffeehouse Crime's videos fall within the guidelines of fair use. No copyright infringement is intended. If you are or represent the copyright owner of any materials accidentally used in this video and have an issue with its use, please contact me, and I will respond as soon as possible.",Apr,Coffeehouse Crime
8,Strange Disappearance to Haunting Murder...  | The Case of Ebby Steppach,2023-04-12,746422,34379,4167,"Just days before disappearing, Ebby Steppach became the victim of a devastating crime... The time between both events can be considered way too coincidental. This is Ebby's story and the long and disappointing trail of mistakes left in her absence. 

➤ Patreon: https://www.patreon.com/coffeehousecrime 
➤ Instagram: https://www.instagram.com/coffeehousecrime/
➤ Twitter: https://twitter.com/coffeehcrime
➤ Facebook: https://www.facebook.com/coffeehousecrime
➤ Animated Background by Featherwax Studio: https://featherwax.com

00:00 Intro
01:21 Arkansas
03:10 Ebby's troubled history
05:04 October 2015
08:36 Vanished... Clues...
12:54 Searching for Ebby (911 CALL)
16:24 New opportunity... Discovery...
20:07 Aftermath
22:00 Theories
24:22 Sidenotes
26:10 SPECIAL ANNOUNCEMENT
27:36 Outro 

DISCLAIMER: Great effort is made to ensure all materials in Coffeehouse Crime's videos fall within the guidelines of fair use. No copyright infringement is intended. If you are or represent the copyright owner of any materials accidentally used in this video and have an issue with its use, please contact me, and I will respond as soon as possible.",Apr,Coffeehouse Crime
9,Found by Crazed Killers... | The Tragic Case of Telma Boinville,2023-04-05,1163221,41379,3513,"In December 2017, the senseless actions of two young adults devastated the Hawaiin community of Northshore. Several clues were left behind, thus evoking an island-wide manhunt. And after closing in on their suspects, a terrible tale was learned. 

➤ Patreon: https://www.patreon.com/coffeehousecrime 
➤ Instagram: https://www.instagram.com/coffeehousecrime/
➤ Twitter: https://twitter.com/coffeehcrime
➤ Facebook: https://www.facebook.com/coffeehousecrime
➤ Animated Background by Featherwax Studio: https://featherwax.com

00:00 Intro
01:36 Hawaii, Oahu
04:10 Telma Boinville
06:42 December 7th, 2017
10:07 On the run...
12:49 Stephen Brown
15:50 Hailey Dandurand
17:55 Recalling the afternoon
19:25 Legal Proceedings
25:52 Sidenotes
26:34 Remembering Telma
28:32 Outro

DISCLAIMER: Great effort is made to ensure all materials in Coffeehouse Crime's videos fall within the guidelines of fair use. No copyright infringement is intended. If you are or represent the copyright owner of any materials accidentally used in this video and have an issue with its use, please contact me, and I will respond as soon as possible.",Apr,Coffeehouse Crime
