,Title
0,"He Turned his victims into ""BBQ Pork""... | The Horrors of Henry Chau"
1,She lured men in to murder them... | The Case of Domina Cherry
2,The Horrific Couple who Lured and Murdered Jaren Lockhart...
3,The Obsessive Ex that got away with Murder...
4,The Chilling CCTV Footage that Captured Zara Aleena's Killer...
5,The Horrific Discovery in the Walls of their Restaurant...
6,The Murderous Love Triangle that claimed two lives...
7,The Girl Who Came Back From The Dead... | The Case of Delimar Vera
8,Strange Disappearance to Haunting Murder...  | The Case of Ebby Steppach
9,Found by Crazed Killers... | The Tragic Case of Telma Boinville
10,How her EVIL Web of Lies destroyed multiple lives... | Eleanor Williams
11,The EVIL Son who Dismembered his own Mother...  | The Case of Beverly Liggett
12,The Influencer MURDERED by a Parasite Family... | Abby Choi
13,The Sinister Murder Plotted on The Dark Web... | The Case of Rie Isogai
14,The Disturbing Online World of Killer Kimveer Gill...
15,"The Killer ""Vampire"" Who Deformed His Own Face... | Caius Veiovis"
16,Coffeehouse Crime Case Updates: Spring 2023
17,The Murder that shocked a Nation... | The Chilling Case of Eve Carson
18,The Gangnam Massacre | The Disturbing Case of Jeong Sang-Jin
19,The Murder that Puzzled a Nation... | The Case of Kitty Kat West
20,The Army Officer who became a Serial Killer... | The Case of Nikos Metaxas
21,WHY visiting this island will end in DEATH...
22,Random Co-ordinates led these kids to a body... | TikTok Suitcase Murders
23,"The Hikikomori Who KIDNAPPED a Teenager to be his ""Human Experiment""..."
24,The Man Who Murdered his entire family... | The Case of The Jones Family
25,The OnlyFans Model who became a Killer... | The Case of Courtney Clenney
26,"The 3 teachers that became a DEATHLY trio | The Wieambilla Shootings, 2022"
27,She MURDERED her stepfather after discovering his horrific secret...
28,The EVIL Love Triangle Murder Plot that killed BOTH men...
29,The Disturbing Killer who Murdered those closest to him...
30,How CCTV Caught a Killer | The Harrowing Story of Jackie Vandagriff
31,The EVIL Mother Who Murdered for Money... | The Case of Sheena Bora
32,A Backpacker's worst nightmare... | The Slippery Case of Simone Strobel
33,The Onlyfans Model Who Became a Murderer... | The Case of Abigail White
34,Murdered by her EVIL Boyfriend... | The Case of Sophie Elliot
35,The Exposed Fraudster Found Murdered... | The SOLVED Story of Andrew Kissel
36,Murdered by a Milkshake... | The Case of Robert Kissel
37,Targetted for Murder... | The Disturbing Case of Loretta Saunders
38,The Vending Machine Murders that Killed 12 People...
39,Behind The Killer's Mask... | The Senseless Case of Jeffrey Hazelwood
40,"The Snapchat Murders (Update) | Delphi's ""Bridge Guy"" arrested..."
41,The Pro Gamer Who Became a Murderer... | The Case of David Katz
42,How CCTV Caught A Killer... | The Shocking Case of Mee Kuen Chong
43,The 12-Year-Old Who Became a Triple Murderer... | The Richardson Family
44,The Murderous Maid who betrayed her best friend... | Jane La Puebla
45,The Serial Killer who claimed 15 Lives... | The Case of David West
46,The Horrors of Room 3109 | The Case of Killer Banker Rurik Jutting
47,The Police Officer who used BDSM for Murder... | The Case of Steven Zelich
48,Buried Alive by an Ex Partner... | The Case of Brandy Rosine
49,"Murdered in Paradise by ""The Korn Devil""... | The Case of Miriam Beelte"
50,A Killer's Terrible Secret... | The Chilling Case of Sierra Lamar
51,The Vengeful Wife who Murdered 57... | The Kuwaiti Wedding Massacre
52,The Murderous Pilot Who Claimed 149 Lives... | The Tragedy of Flight 9525
53,"She killed her friends because ""God"" told her to..."
54,The YouTuber that murdered another... | The Case of Asia McGowan
55,The Self-Entitled Teen Who MURDERED Her Family... | Suzane Von Richthofen
56,The Facebook Date That Ended In Murder | The Case of Eleni Topaloudi
57,The Disturbed Boy That Murdered his Model Sister | The Case of Azumi Muto
58,The Tinder Date Murdered By A Cult | The Case of Sydney Loofe
59,The Killer Who Kept His Victim in an Ice Box | The Case of Denise Huber
60,The Black Metal Murderer | The Disturbing Case of Euronymous
61,"The Killer ""Alpha Male"" | The Case of Lyndon Mcleod"
62,The Underwater Grave | The Mysterious Case of Olivia Lone Bear
63,The Man Who Lived Above His Dead Partner | Disturbing Case of Allan Shyback
64,Family Horror | The Strange Case of Cameron Rogers
65,"Swingers, Snipers & Murder | The Case of Darren Mack"
66,The YouTuber Murdered By An Obsessed Fan | The Case of Christina Grimmie
67,The Murderous Neighbour Next Door... | The Case of Can Arslan
68,The Slippery Case of The Bain Family Massacre
69,The Journey Through Hell | The Horrific Case of Hannah Cornelius
70,The Harrowing Case of Valerie Reyes
71,The Murderous Downfall of YouTuber McSkillet...
72,The Chilling Case of Brittanee Drexel
73,The Slippery Case of Michelle Young
74,The Sinister Case of Jessica Ridgeway
75,The Outback Axe Murderer... | The Case of Jose Omonte-Extrada
76,The Horrific Case of Jennifer Cave
77,The Camgirl Who Became a Murderer... | The Case of Melissa Turner
78,The BDSM Ranch Murders... | The Case of Sheila LaBarre
79,The Baby-Faced Killer... | The Case of Morgan Huxley
80,The Tragic Case of Sabina Nessa...
81,The Killer Cannibal Who Was Allowed To Walk Free... | The Case of Issei Sagawa
82,The Murderous Mothers of the Hart Family Massacre
83,The US Marine Who Outraged Japan | The Case of Rina Shimabukuro
84,The Wrestling Champion who Murdered his family | The Case of Chris Benoit
85,The Japanese Millionaire Who Became A Killer... | The Case of Joji Obara
86,The Murder That Outraged A Nation | The Horrific Case of Uyinene Mrwetyana
87,Fraud to Murder? | The Case of Melissa Caddick
88,Murderous Doctor | The Case of Elana Fric & Mohammed Shamji
89,The Senseless Case of Tristyn Bailey
90,The Case of Michaela Shunick
91,The Incel Virgin Who Became a Murderer | The Case of Jake Davison
92,YouTuber To Murderer | The Disturbing Case of Pekka-Eric Auvinen
93,The Latex Devil Next Door | The Case of Luke Fawcett
94,The Osaka Kidnapper | The Case of Koji Yamada
95,The Chilling Case of Clifford Burns
96,The Case of Miya Marcano
97,"The ""Ted Bundy"" Serial Killer of South Korea | The Case of Kang Ho-Sun"
98,What is happening on Death Island?
99,The Case of Aliny Godinho
100,The Millionaire MURDERED By His Son | The Case of Sir Richard Sutton
101,Canada's Chris Watts | The Slippery Case of Robert Leeming
102,Hitchhiking into Murder | The Chilling Case of Sophia Lösche
103,The Body In A Suitcase | The Disturbing Case of Gergana Prodanova
104,Snatched From A Campsite | The Solved Disappearance of Cleo Smith
105,"The ""Bubble & Squeak"" Murder | The Disturbing Case of Penelope Jackson"
106,Police Officer to Serial Killer | The Case of Rosemary Ndlovu
107,Meet The Barista | Coffeehouse Crime Q&A
108,"Famous Tiktoker to Killer | The Case of ""Yandere Freak"" Snow The Salt Queen"
109,The Killer that made a deal with a Demon... | The Case of Danyal Hussein
110,The Zushi Stalker | The Disturbing Case of Hideto Kodutsumi
111,"The Moab Creeper | The Cases of Kylen Schulte, Crystal Turner, & Lauren Cho"
112,Disappearance turns into Anniversary Murder | The Case of Emily Ferlazzo
113,Family Murdered on Halloween | The Case of the Liske Family Massacre
114,The YouTuber Who Attacked YouTube Headquarters...
115,"Killing in Senseless, Cold-Blooded Revenge | The Case of Jody Herring"
116,"The ""Volga Maniac"" Serial Killer of Russia | The Case of Radik Tagirov"
117,Murdered by a Killer that Walked Free | The Case of Sarah Cafferkey
118,YouTuber Turned Killer | The Case of Samantha Wohlford
119,Targeted And Killed By A Fake Uber Driver | The Case of Samantha Josephson
120,The Stalker That Lived With Dead Bodies | The Disturbing Case of Kim Tae-Hyun
121,The Crossbow Cannibal | The Case of Stephen Griffiths
122,"Stealing An Aircraft in Plain Sight | The Case of ""Sky King"" Beebo Russell"
123,The Solved Disappearance Of Mollie Tibbetts
124,Akihabara's Killer Hikikomori | The case of Tomohiro Kato
125,Killed with Coffee | The Case of Mirna Salihin | The Coffeehouse Murder
126,He Destroyed a Town in Revenge | The Case of Marvin Heemeyer (Killdozer)
127,When Cheating Turns Into Murder | The Harrowing Case of Jayde Panayiotou
128,The Killer Incel | The Delusional Case of Alek Minassian | Toronto Van Attack
129,The House Of Horror | The Strange Case of Pazuzu Algarad
130,Japan's Dark Secret | The Disturbing Case Of Satoshi Uematsu | Sagamihara Massacre
131,The Tragic Case of Warriena Wright
132,YouTuber to Mass-Murderer | Randy Stair's Dark Fantasy World
133,The House Party Killer | The Horrific Case of Tyler Hadley
134,The Killer That Deformed His Own Face | The Disturbing Case of Tatsuya Ichihashi
135,The Road Trip of Death | The Case of Kam Mcleod and Bryer Schmegelsky
136,Betrayed And Murdered By A Best Friend | The Solved Case of Stephen McAfee
137,The Killer Virgin | The Delusional Case of Elliot Rodger
138,Turtle Island's Dark Secret: The Case of Hannah Witheridge and David Miller
139,The Doomsday Couple: The Unbelievable Case of Lori Vallow And Chad Daybell
140,He sought REVENGE on a studio with Murder... | The Case of Shinji Aoba
141,Suspect On The Run: The Unfolding Tragic Case of Toyah Cordingley
142,The Killer Grandma | The Shocking Case of Cynthia Cdebaca
143,The Chilling Case of Karabo Mokoena
144,The YouTuber That Became a Killer - The Insane Case of Trey Sesler (Mr. Anime)
145,Murdered in a Jungle? | The Case of Kris Kremers and Lisanne Froon
146,How a Soda Can Solved A 40 Year Old Cold Case | The Story of Sylvia Quayle
147,The Christmas Day Massacre | The Anderson Family Murders
148,The Church Murder: The Case of Missy Bevers
149,The Chilling Case of Birna Brjansdottir
150,The Real Life Yandere Girl | The Strange Case of Yuka Takaoka
151,How CCTV Caught A Killer: The Case of Libby Squire and Pawel Relowicz
152,Inside a Serial Killer's House | The Case of Stewart Weldon
153,What Happened to Brian Shaffer? | The Man That Vanished From a Bar
154,From Delusional Ex to Murderer | The Case of Jodi Arias
155,Disappeared While Hiking An Illegal Trail | The Unsolved Case of Daylenn Pua
156,She Believed she was being followed... | The STRANGE Case of Elisa Lam
157,The Case of the Watts Family Murders
158,"The Terrifying Case of ""Bridge Guy"" and the Delphi Murders"
159,The Case Of Lisa Montgomery
160,The Tinder Date Killer | The Harrowing Case Of Grace Millane
161,The Family Murdered In The Mountains | The Case of the Jamison Family
162,The Case of Alissa Turney (2021 NEW Update)
163,The Boy In The Chimney | The Unsolved Case of Joshua Maddux
