,Title
0,The Sickening Case of Zara Aleena
1,This 1km Trail of Blood Led to a Brutal Crime Scene | The Kovan Killer
2,The Strange Case of The Wycherleys
3,Buried Alive | The Terrifying Case of Young Sook An (TW Domestic Abuse)
4,Murder at the Mall | Michelle Martinko
5,The Heartbreaking Story of Sasha Marsden
6,The Murder of Pamela Lawrence
7,The Kidnap of Denise Amber Lee
8,The 100 Million Dollar Diamond Heist
9,The Strange Disappearance of Julie Ward
10,The Mannequin Murderer
11,The Greensburg 6 | The Harrowing Case of Jennifer Daugherty
12,The Flat of Horrors | The Tragic Case of Julia Rawson
13,The Shocking Case of Randall Lee Smith
14,The Kauhajoki School Shooting
15,The Man Who Wouldn't Die | The Durable Mike Malloy
16,"Murder at 36,000ft | Yuji Nishizawa"
17,The Case of Akku Yadav
18,The Morgue Monster | David Fuller
19,The Tragic Case of Gregory Biggs | The Windshield Murder
20,The Bizarre Case of Peter Shellard
21,The Serial Killer Who Filed His Teeth Down | The Disturbing Case of Trevor Hardy
22,The Watcher House | The Sinister Case of 657 Boulevard
23,Santa The Slayer | The Covina Massacre
