,Title
0,A Killer Deadlier than Hitler? Joseph Stalin Part 2 | Dark History with Bailey Sarian
1,His Waterbed Secrets - Life Sentence At 14?! Joshua Phillips | Mystery & Makeup | Bailey Sarian
2,The Mass Murderer Nobody Talks About: Joseph Stalin Part 1 | Dark History with Bailey Sarian
3,The Woodworking Wacko - Psychopath Cameron Hooker  | Mystery & Makeup | Bailey Sarian
4,This Bloody Crime Saved Our Lives: The Dark History of 911 | Dark History with Bailey Sarian
5,Abusive Prisons or Animal Oasis: Are Zoos Evil? | Dark History with Bailey Sarian
6,"Dirty Water, Wikileaks, and Anthrax?! Would You Die For Your Country? | Dark History | Bailey Sarian"
7,TRAIN Obsessed Killer?! Just a fetish or more? Sylvester Matuska | Mystery & Makeup | Bailey Sarian
8,Legalized Murder: When The Purge Happened In America  - Red Summer of 1919 | Dark History
9,"Your Deepest, Darkest, JUICIEST Questions Answered | Vulnerable Q&A Mystery & Makeup | Bailey Sarian"
10,Wanna Make 10 Million Dollars? Craziest Art Heists in History-Dark History with Bailey Sarian
11,A Nepo Baby’s Hollywood Castle: Billionaire King William Hearst | Dark History with Bailey Sarian
12,The Killing Game - Did this monster murder 30 more? Rodney Alcala | Mystery & Makeup - Bailey Sarian
13,"Cannibalism, Child-Trafficking, & Striptease: the Truth Disney Buried | Dark History | Bailey Sarian"
14,When Beauty Kills: Secrets of the Plastic Surgery | Dark History with Bailey Sarian
15,The REAL Boogeyman?! A Horrible Man or Monster - Albert Fish | Mystery & Makeup | Bailey Sarian
16,Why You'll Probably Fail the SATs | Dark History with Bailey Sarian
17,Happy Wife Happy Life? - Secrets in the Suburbs I Mystery & Makeup | Bailey Sarian
18,The Power of Hate- Death to Disco | Dark History with Bailey Sarian
19,That $7 Shirt Is Making You Sick: Fast Fashion vs. the World | Dark History with Bailey Sarian
20,The Forgotten Psychopath Killer - Patrick Mackay | Mystery & Makeup Bailey Sarian
21,From Hoovers to Hentai: The Dark History of Porn | Dark History with Bailey Sarian
